"name","Alma_mater"
"Martin Evans","Christ's College Cambridge"
"Martin Evans","University College London"
"Karl Barry Sharpless","Dartmouth College"
"Karl Barry Sharpless","Stanford University"
"Karl Barry Sharpless","Harvard University"
"Stanley B. Prusiner","University of Pennsylvania"
"Stanley B. Prusiner","Perelman School of Medicine at the University of Pennsylvania"
"Robert F. Engle","Williams College"
"Robert F. Engle","Cornell University"
"Robert H. Grubbs","Columbia University"
"Robert H. Grubbs","University of Florida"
"Christiane Nüsslein-Volhard","University of Tübingen"
"Christopher A. Sims","Harvard University"
"Christopher A. Sims","University of California Berkeley"
"John Sulston","Pembroke College Cambridge"
"Thomas J. Sargent","Harvard University"
"Thomas J. Sargent","University of California Berkeley"
"Thomas J. Sargent","Bachelor of Arts"
"Thomas J. Sargent","Doctor of Philosophy"
"Tim Hunt","Clare College Cambridge"
"Michael Spence","Princeton University"
"Michael Spence","Harvard University"
"Michael Spence","University of Oxford"
"Mario J. Molina","University of Freiburg"
"Mario J. Molina","University of California Berkeley"
"Mario J. Molina","National Autonomous University of Mexico"
"Johann Deisenhofer","Technische Universität München"
"Ralph M. Steinman","Harvard University"
"Ralph M. Steinman","McGill University"
"Richard J. Roberts","University of Sheffield"
"Richard Smalley","Princeton University"
"Richard Smalley","University of Michigan"
"Robert Lefkowitz","Columbia University"
"Erwin Neher","Technische Universität München"
"Erwin Neher","University of Wisconsin–Madison"
"Makoto Kobayashi (physicist)","Nagoya University"
"Serge Haroche","École Normale Supérieure"
"James Heckman","Princeton University"
"James Heckman","Colorado College"
"Phillip Allen Sharp","Union College (Kentucky)"
"Phillip Allen Sharp","University of Illinois at Urbana–Champaign"
"Robert C. Merton","California Institute of Technology"
"Robert C. Merton","Columbia University"
"Robert C. Merton","Massachusetts Institute of Technology"
"David J. Wineland","Harvard University"
"David J. Wineland","University of California Berkeley"
"David J. Wineland","University of Washington"
"Kary Mullis","Georgia Institute of Technology"
"Douglas Osheroff","California Institute of Technology"
"Douglas Osheroff","Cornell University"
"Richard R. Schrock","Harvard University"
"Richard R. Schrock","University of California Riverside"
"Richard R. Schrock","University of Cambridge"
"George Smoot","Massachusetts Institute of Technology"
"John C. Mather","University of California Berkeley"
"John C. Mather","Swarthmore College"
"Richard Axel","Columbia University"
"Richard Axel","Stuyvesant High School"
"Richard Axel","Johns Hopkins School of Medicine"
"Gerard 't Hooft","Utrecht University"
"Eric F. Wieschaus","Yale University"
"Eric F. Wieschaus","University of Notre Dame"
"Thomas Cech","Grinnell College"
"Thomas Cech","University of California Berkeley"
"H. Robert Horvitz","Massachusetts Institute of Technology"
"Michael Levitt","Peterhouse Cambridge"
"Michael Levitt","King's College London"
"Shirin Ebadi","University of Tehran"
"Linda B. Buck","University of Washington"
"Linda B. Buck","Seattle"
"Martin Chalfie","Harvard University"
"Luise Druke","University of Hanover"
"Hartmut Michel","University of Tübingen"
"Randy Schekman","Stanford University"
"Randy Schekman","University of California Los Angeles"
"Randy Schekman","University of Edinburgh"
"William Daniel Phillips","Massachusetts Institute of Technology"
"William Daniel Phillips","Juniata College"
"Paul Nurse","University of Birmingham"
"Paul Nurse","University of East Anglia"
"Peter Agre","Johns Hopkins School of Medicine"
"Peter Agre","Augsburg College"
"Peter Agre","Case Western Reserve University School of Medicine"
"Horst Ludwig Störmer","Goethe University Frankfurt"
"Horst Ludwig Störmer","University of Stuttgart"
"Hugh David Politzer","Harvard University"
"Hugh David Politzer","University of Michigan"
"Eric Maskin","Harvard University"
"Russell Alan Hulse","University of Massachusetts Amherst"
"James Rothman","Harvard University"
"James Rothman","Yale University"
"Robert B. Laughlin","Massachusetts Institute of Technology"
"Robert B. Laughlin","University of California Berkeley"
"Roger Myerson","Harvard University"
"Alvin E. Roth","Columbia University"
"Alvin E. Roth","Stanford University"
"Frank Wilczek","Princeton University"
"Frank Wilczek","University of Chicago"
"Frank Wilczek","Doctor of Philosophy"
"Carl Wieman","Massachusetts Institute of Technology"
"Carl Wieman","Stanford University"
"Jack W. Szostak","Cornell University"
"Jack W. Szostak","McGill University"
"Roger Y. Tsien","Harvard University"
"Roger Y. Tsien","University of Cambridge"
"Lars Peter Hansen","University of Minnesota"
"Lars Peter Hansen","Utah State University"
"Paul Krugman","Massachusetts Institute of Technology"
"Paul Krugman","Yale University"
"Thomas C. Südhof","University of Göttingen"
"Thomas C. Südhof","RWTH Aachen University"
"Thomas C. Südhof","Max Planck Institute for Biophysical Chemistry"
"Brian Kobilka","Yale University"
"Brian Kobilka","University of Minnesota Duluth"
"Roderick MacKinnon","Brandeis University"
"Wolfgang Ketterle","Max Planck Institute of Quantum Optics"
"Wolfgang Ketterle","Heidelberg University"
"Wolfgang Ketterle","Ludwig Maximilian University of Munich"
"Wolfgang Ketterle","Technische Universität München"
"Bruce Beutler","University of California San Diego"
"Bruce Beutler","University of Chicago"
"Koichi Tanaka","Tohoku University"
"Andrew Fire","Massachusetts Institute of Technology"
"Andrew Fire","University of California Berkeley"
"Saul Perlmutter","Harvard University"
"Saul Perlmutter","University of California Berkeley"
"Craig Mello","Brown University"
"Craig Mello","Harvard University"
"Eric Allin Cornell","Massachusetts Institute of Technology"
"Eric Allin Cornell","Stanford University"
"Carol W. Greider","University of California Berkeley"
"Shinya Yamanaka","Kobe University"
"Shinya Yamanaka","Osaka City University"
"Ken Rutherford (political scientist)","Political science"
"Ken Rutherford (political scientist)","University of Colorado Boulder"
"Ken Rutherford (political scientist)","Georgetown University"
"Brian Schmidt","Harvard University"
"Brian Schmidt","University of Arizona"
"Adam Riess","Massachusetts Institute of Technology"
"Adam Riess","Harvard University"
"Adam Riess","University of California Berkeley"
"Konstantin Novoselov","Moscow Institute of Physics and Technology"
"Konstantin Novoselov","Radboud University Nijmegen"
