"name","Alma_mater"
"Corneille Heymans","Ghent University"
"Harold Urey","Earlham College"
"Harold Urey","University of California Berkeley"
"Harold Urey","University of Montana"
"Albert Szent-Györgyi","Doctor of Philosophy"
"Albert Szent-Györgyi","Semmelweis University"
"Albert Szent-Györgyi","University of Cambridge"
"Dickinson W. Richards","Yale University"
"Dickinson W. Richards","Columbia University College of Physicians and Surgeons"
"Artturi Ilmari Virtanen","University of Helsinki"
"Ragnar Frisch","University of Oslo"
"Gerhard Domagk","University of Kiel"
"Igor Tamm","Moscow State University"
"Igor Tamm","University of Edinburgh"
"William Giauque","University of California Berkeley"
"Philip Showalter Hench","University of Pittsburgh"
"Philip Showalter Hench","Lafayette College"
"Robert S. Mulliken","Massachusetts Institute of Technology"
"Robert S. Mulliken","University of Chicago"
"Carl Ferdinand Cori","Charles University in Prague"
"Carl Ferdinand Cori","First_Faculty_of_Medicine"
"Irène Joliot-Curie","University of Paris"
"Georg Wittig","University of Marburg"
"Patrick Blackett Baron Blackett","Osborne House"
"Patrick Blackett Baron Blackett","University of Cambridge"
"Ronald George Wreyford Norrish","University of Cambridge"
"John Franklin Enders","Yale University"
"Odd Hassel","University of Oslo"
"Cyril Norman Hinshelwood","Balliol College Oxford"
"Isidor Isaac Rabi","Columbia University"
"Isidor Isaac Rabi","Cornell University"
"Gunnar Myrdal","Stockholm University"
"Howard Florey","Magdalen College Oxford"
"Howard Florey","University of Adelaide"
"Karl Ziegler","University of Marburg"
"Friedrich Hayek","University of Vienna"
"Friedrich Hayek","Doctor of law"
"Friedrich Hayek","Doctorate"
"Fritz Albert Lipmann","Humboldt University of Berlin"
"Fritz Albert Lipmann","University of Königsberg"
"Fritz Albert Lipmann","Kaiser Wilhelm Society"
"Fritz Albert Lipmann","Ludwig Maximilian University of Munich"
"Paul Hermann Müller","University of Basel"
"Albert Claude","University of Liège"
"Hans Adolf Krebs","Humboldt University of Berlin"
"Hans Adolf Krebs","University of Freiburg"
"Hans Adolf Krebs","University of Göttingen"
"Hans Adolf Krebs","University of Hamburg"
"Dennis Gabor","Technical University of Berlin"
"Dennis Gabor","Budapest University of Technology and Economics"
"Frédéric Joliot-Curie","ESPCI ParisTech"
"Enrico Fermi","Scuola Normale Superiore di Pisa"
"Ernest Lawrence","University of Minnesota"
"Ernest Lawrence","Yale University"
"Ernest Lawrence","University of South Dakota"
"Simon Kuznets","Columbia University"
"Simon Kuznets","Kharkiv National University of Economics"
"Vincent du Vigneaud","University of Rochester"
"Linus Pauling","California Institute of Technology"
"Linus Pauling","Oregon State University"
"Charles Brenton Huggins","Acadia University"
"Charles Brenton Huggins","Harvard University"
"Eugene Wigner","Technical University of Berlin"
"Theodore Schultz","University of Wisconsin–Madison"
"Kurt Alder","Humboldt University of Berlin"
"Kurt Alder","University of Kiel"
"Barbara McClintock","Cornell University"
"Arne Tiselius","Uppsala University"
"Walter Houser Brattain","Whitman College"
"Walter Houser Brattain","University of Minnesota"
"Walter Houser Brattain","University of Oregon"
"André Michel Lwoff","Pasteur Institute"
"Haldan Keffer Hartline","Johns Hopkins School of Medicine"
"Haldan Keffer Hartline","Lafayette College"
"Lars Onsager","Norwegian Institute of Technology"
"Jan Tinbergen","Leiden University"
"John Eccles (neurophysiologist)","Magdalen College Oxford"
"John Eccles (neurophysiologist)","University of Melbourne"
"George Wells Beadle","University of Nebraska–Lincoln"
"George Wells Beadle","Cornell University"
"Giulio Natta","Polytechnic University of Milan"
"C. F. Powell","University of Cambridge"
"Louis Néel","École Normale Supérieure"
"Louis Néel","University of Strasbourg"
"Pavel Cherenkov","Voronezh State University"
"John Hicks","Balliol College Oxford"
"Wendell Meredith Stanley","Earlham College"
"Ulf von Euler","Karolinska Institutet"
"Ernst Boris Chain","Humboldt University of Berlin"
"Ernst Ruska","Technische Universität München"
"Sin-Itiro Tomonaga","Kyoto University"
"Vladimir Prelog","Czech Technical University in Prague"
"Wassily Leontief","Humboldt University of Berlin"
"Wassily Leontief","Saint Petersburg State University"
"James Meade","Christ's College Cambridge"
"James Meade","Oriel College Oxford"
"James Meade","Malvern College"
"Edwin McMillan","California Institute of Technology"
"Edwin McMillan","Princeton University"
"Alexander R. Todd Baron Todd","Goethe University Frankfurt"
"Alexander R. Todd Baron Todd","University of Glasgow"
"Alexander R. Todd Baron Todd","University of Oxford"
"Nikolaas Tinbergen","Leiden University"
"Hideki Yukawa","Kyoto University"
"Joseph Rotblat","University of Warsaw"
"Joseph Rotblat","University of Liverpool"
"Joseph Rotblat","Free Polish University"
"Alfred Hershey","Michigan State University"
"Lev Landau","Saint Petersburg State University"
"Lev Landau","Ioffe Institute"
"Lev Landau","Baku State University"
"Ilya Frank","Moscow State University"
"Willard Libby","University of California Berkeley"
"Edward Lawrie Tatum","University of Chicago"
"Edward Lawrie Tatum","University of Wisconsin–Madison"
"Rita Levi-Montalcini","University of Turin"
"Tjalling Koopmans","Utrecht University"
"Tjalling Koopmans","Leiden University"
"Ronald Coase","London School of Economics"
"Archer John Porter Martin","Peterhouse Cambridge"
"Trygve Haavelmo","University of Oslo"
"George Stigler","University of Chicago"
"George Stigler","University of Washington"
"George Stigler","Northwestern University"
"Bernard Katz","Leipzig University"
"Maurice Allais","École Polytechnique"
"Maurice Allais","Mines ParisTech"
"William Howard Stein","Columbia University"
"William Howard Stein","Harvard University"
"Herbert C. Brown","University of Chicago"
"Julius Axelrod","City College of New York"
"Julius Axelrod","George Washington University Medical School"
"George Emil Palade","Carol Davila University of Medicine and Pharmacy"
"Leonid Kantorovich","Saint Petersburg State University"
"Salvador Luria","University of Turin"
"Roger Wolcott Sperry","Oberlin College"
"Roger Wolcott Sperry","University of Chicago"
"Stanford Moore","Vanderbilt University"
"Stanford Moore","University of Wisconsin–Madison"
"Richard Stone","University of Cambridge"
"Raymond Davis Jr.","Yale University"
"Raymond Davis Jr.","University of Maryland College Park"
"Renato Dulbecco","University of Turin"
"Alan Lloyd Hodgkin","Trinity College Cambridge"
"Richard Laurence Millington Synge","Trinity College Cambridge"
"Richard Laurence Millington Synge","Winchester College"
"Max Perutz","Peterhouse Cambridge"
"Max Perutz","University of Vienna"
"Norman Borlaug","University of Minnesota"
"William Vickrey","Columbia University"
"William Vickrey","Yale University"
"Thomas Huckle Weller","Harvard Medical School"
"Thomas Huckle Weller","University of Michigan"
"Paul Samuelson","Harvard University"
"Paul Samuelson","University of Chicago"
"Peter Medawar","University of Oxford"
"Henry Taube","University of California Berkeley"
"Henry Taube","University of Saskatchewan"
"Earl Wilbur Sutherland Jr.","Washburn University"
"Earl Wilbur Sutherland Jr.","Washington University in St. Louis"
